PCT,crime_category,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
7,non_seven_major_felony-offenses,FELONY DANGEROUS DRUGS  (1),250.0,287.0,229.0,222.0,261.0,256.0,300.0,358.0,245.0,227.0,167.0,171.0,169.0,274.0,217.0,174.0
7,non_seven_major_felony-offenses,FELONY DANGEROUS WEAPONS (2)        ,16.0,23.0,17.0,26.0,44.0,30.0,34.0,60.0,39.0,86.0,49.0,49.0,51.0,49.0,36.0,26.0
7,non_seven_major_felony-offenses,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,43.0,90.0,63.0,51.0,27.0,31.0,37.0,41.0,33.0,33.0,44.0,57.0,44.0,38.0,41.0,60.0
7,non_seven_major_felony-offenses,OTHER FELONIES (4),79.0,47.0,68.0,93.0,94.0,104.0,69.0,128.0,104.0,108.0,82.0,77.0,119.0,112.0,114.0,127.0
7,non_seven_major_felony-offenses,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,440.0,520.0,437.0,481.0,581.0,571.0,564.0,700.0,498.0,552.0,426.0,435.0,458.0,564.0,517.0,482.0
7,misdemeanor_offenses_listing,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2.0,6.0,10.0,14.0,29.0,35.0,22.0,23.0,27.0,43.0,29.0,27.0,43.0,24.0,12.0,12.0
7,misdemeanor_offenses_listing,MISDEMEANOR SEX CRIMES (4),22.0,32.0,25.0,28.0,33.0,29.0,28.0,32.0,32.0,40.0,21.0,23.0,21.0,26.0,19.0,46.0
7,misdemeanor_offenses_listing,MISDEMEANOR DANGEROUS DRUGS  (1),428.0,426.0,427.0,510.0,503.0,488.0,483.0,530.0,529.0,740.0,836.0,752.0,589.0,406.0,326.0,423.0
7,misdemeanor_offenses_listing,MISDEMEANOR DANGEROUS WEAPONS (5)               ,18.0,33.0,38.0,72.0,124.0,161.0,87.0,94.0,61.0,71.0,107.0,93.0,99.0,79.0,62.0,65.0
7,misdemeanor_offenses_listing,PETIT LARCENY                         ,685.0,582.0,609.0,601.0,546.0,636.0,605.0,629.0,791.0,649.0,738.0,529.0,633.0,584.0,572.0,570.0
7,misdemeanor_offenses_listing,ASSAULT 3 AND RELATED OFFENSES        ,336.0,340.0,343.0,371.0,348.0,362.0,374.0,468.0,410.0,383.0,374.0,389.0,424.0,431.0,385.0,380.0
7,misdemeanor_offenses_listing,INTOXICATED & IMPAIRED DRIVING              ,24.0,30.0,29.0,38.0,32.0,33.0,39.0,119.0,79.0,65.0,83.0,95.0,74.0,70.0,60.0,44.0
7,misdemeanor_offenses_listing,VEHICLE AND TRAFFIC LAWS              ,45.0,32.0,49.0,79.0,45.0,54.0,30.0,25.0,36.0,35.0,23.0,28.0,25.0,39.0,35.0,25.0
7,misdemeanor_offenses_listing,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,373.0,250.0,324.0,345.0,312.0,373.0,382.0,449.0,579.0,470.0,437.0,385.0,376.0,366.0,441.0,442.0
